################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2027186940415531E-01 a         1     0     1     1     1
 -2.6290294693573973E-01 a         2     0     1     1     2
 -4.5990499447099648E-01 a         3     0     1     1     3
  3.0371863301560970E-01 a         4     0     1     1     4
  3.3185816349878516E-01 a         5     0     1     1     5
 -3.4480073295898434E-01 a         6     0     1     1     6
  1.2749345811629682E+00 a         7     0     1     1     7
 -3.1127986214468911E-01 a         8     0     1     1     8
 -6.7468931843597979E-01 a         9     0     1     1     9
  6.0699758980423790E-01 a        10     0     1     1    10
  3.4490344053384253E-01 a        11     0     1     1    11
  2.6699263199942291E-01 a        12     0     1     1    12
 -6.0726864960172300E-01 a        13     0     1     1    13
  4.8212057233452077E-01 a        14     0     1     1    14
  5.7065601851146652E-01 a        15     0     1     1    15
 -9.5495909910866872E-01 a        16     0     1     1    16
  5.7904373749273175E-01 a        17     0     1     1    17
  2.0290304535336379E-01 a        18     0     1     1    18
 -9.0644724474852487E-02 a        19     0     1     1    19
 -5.3501682893610049E-02 a        20     0     1     1    20
  1.8377409061493868E-01 a        21     0     2     1     1
  5.6014574111068727E-01 a        22     0     2     1     2
  4.8636721740625305E-01 a        23     0     2     1     3
 -4.1962655619824185E-01 a        24     0     2     1     4
 -8.0739847226847894E-01 a        25     0     2     1     5
 -7.9730983427705571E-01 a        26     0     2     1     6
 -1.5665823176864451E+00 a        27     0     2     1     7
  1.0481887807959889E+00 a        28     0     2     1     8
  3.1929744092142703E-01 a        29     0     2     1     9
 -7.8477954800524075E-01 a        30     0     2     1    10
  2.6754040350671165E-01 a        31     0     2     1    11
  2.4478297326144663E-01 a        32     0     2     1    12
  2.7125706958857188E-01 a        33     0     2     1    13
 -3.7519234168961280E-01 a        34     0     2     1    14
 -5.0464030752933231E-01 a        35     0     2     1    15
  1.1068165038990168E+00 a        36     0     2     1    16
 -1.1857508264355281E+00 a        37     0     2     1    17
 -5.3964657016265627E-01 a        38     0     2     1    18
 -4.8047900462057709E-02 a        39     0     2     1    19
  4.6242234679455713E-01 a        40     0     2     1    20
 -7.3880826129839849E-01 a        41     0     3     1     1
 -3.7229040035515809E-01 a        42     0     3     1     2
  2.5588908124849497E-01 a        43     0     3     1     3
  1.3580170652855367E-01 a        44     0     3     1     4
 -3.6103245183355298E-01 a        45     0     3     1     5
  1.0728080201234405E+00 a        46     0     3     1     6
 -7.5946553665890570E-01 a        47     0     3     1     7
 -2.0790129161780768E-01 a        48     0     3     1     8
  1.3817156980574601E+00 a        49     0     3     1     9
 -6.8842905632163265E-01 a        50     0     3     1    10
  1.4538658796235387E-01 a        51     0     3     1    11
 -1.6283046625592115E-01 a        52     0     3     1    12
  3.6532899812019570E-02 a        53     0     3     1    13
 -1.0697870869801751E+00 a        54     0     3     1    14
  4.5874155109568959E-01 a        55     0     3     1    15
  8.0731878605376584E-01 a        56     0     3     1    16
 -2.8897708605487277E-01 a        57     0     3     1    17
 -2.5866444067079014E-01 a        58     0     3     1    18
  7.6584271010764216E-01 a        59     0     3     1    19
  5.9843707251611600E-01 a        60     0     3     1    20
  8.8697763031285315E-01 a        61     0     4     1     1
 -3.4423856131677433E-01 a        62     0     4     1     2
 -9.4680162085692565E-01 a        63     0     4     1     3
  1.6696005309585166E-03 a        64     0     4     1     4
  8.7417213092891810E-01 a        65     0     4     1     5
  1.3405474519967289E+00 a        66     0     4     1     6
