################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.8231813191195887E-01 a       117     0     6     1    17
  5.1688755269961550E-01 a       118     0     6     1    18
  2.2753052260130122E-01 a       119     0     6     1    19
  2.3713343441456772E-01 a       120     0     6     1    20
  1.2568170120425133E+00 a       121     0     7     1     1
  5.8709477682112909E-01 a       122     0     7     1     2
  5.6429368738776786E-01 a       123     0     7     1     3
 -7.7323493465779047E-01 a       124     0     7     1     4
  6.3649525101399396E-01 a       125     0     7     1     5
  1.0241158561259978E-01 a       126     0     7     1     6
  7.0040354303721775E-01 a       127     0     7     1     7
 -8.2385228695913693E-01 a       128     0     7     1     8
 -7.4539938824684807E-02 a       129     0     7     1     9
 -2.5466760163387231E-01 a       130     0     7     1    10
  5.3036130956228322E-01 a       131     0     7     1    11
  5.9092886075596351E-01 a       132     0     7     1    12
 -1.5062412658748386E-01 a       133     0     7     1    13
  2.2142285460881753E-01 a       134     0     7     1    14
  1.9718181981656979E-01 a       135     0     7     1    15
 -1.4328679197584296E-01 a       136     0     7     1    16
 -1.2859986151560544E-03 a       137     0     7     1    17
 -5.1144195555163169E-02 a       138     0     7     1    18
 -1.6036863213895308E-01 a       139     0     7     1    19
 -6.1084218598642250E-02 a       140     0     7     1    20
 -7.5553981793661096E-01 a       141     0     8     1     1
  3.5317613764720111E-02 a       142     0     8     1     2
  2.5172526949252986E-02 a       143     0     8     1     3
 -6.6137876632458870E-01 a       144     0     8     1     4
  3.2562197085551092E-01 a       145     0     8     1     5
  1.9376533984442601E-01 a       146     0     8     1     6
  6.7742016196208921E-01 a       147     0     8     1     7
 -1.0478007234607916E+00 a       148     0     8     1     8
  5.9268349537585097E-01 a       149     0     8     1     9
 -3.7041629774944823E-01 a       150     0     8     1    10
 -6.1780564975329466E-01 a       151     0     8     1    11
  1.6154585689321158E-01 a       152     0     8     1    12
 -1.2443736973648582E-02 a       153     0     8     1    13
 -2.4842550200795782E-01 a       154     0     8     1    14
 -1.7360990278128738E+00 a       155     0     8     1    15
 -2.6036203366754135E-01 a       156     0     8     1    16
 -1.7566968267947650E-01 a       157     0     8     1    17
  1.6145307043787202E-01 a       158     0     8     1    18
 -3.8360107865931620E-01 a       159     0     8     1    19
 -9.2222223361154765E-01 a       160     0     8     1    20
 -1.9462403691783098E-01 a       161     0     9     1     1
  5.7467470383322582E-02 a       162     0     9     1     2
  1.0389311551798917E-02 a       163     0     9     1     3
